,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
299,299,2279,Nordisk Bergteknik,Mining - Service,3.932,-7.957,0.857,1176.3,2237.7,0.08928,1117.984,73.589,0.04615,-140.5,947.3,-0.02439,-0.81553,-0.95301,Sweden,Mid Cap,NORB B,13.039,2022-02-17,NORB-B.ST,,25.012,0.573,1.18,0.69986,Q4-2021,Materials,-0.1483162672859706,0.5256736827993029,0.0333649394047239,0.4706484335872815,0.7201703058783523,0.637624598480327,0.6497306671749825
300,300,161,Nordnet,Retail & Mortgage Banks,53.373,25.418,0.016,2710.9,232544.203,0.01074,35887.5,40.094,0.33133,1411.9,5990.1,-0.16492,-0.01543,-0.05683,Sweden,Large Cap,SAVE,14.641,2022-02-03,SAVE.ST,0.03873,18.165,9.891,5.991,0.38425,Q4-2021,Financials,0.2357055808751106,0.0116575686042795,0.0567530616155773,1.350300487246216,0.3584298174524574,0.3448946286052097,0.3852108522959505
301,301,2327,Norva24,Installation,7.591,,,,,,4226.098,47.266,,,,-0.68206,-0.81553,-0.95301,Sweden,Mid Cap,NORVA,,,NORVA.ST,,,,,,Q4-2020,Industrials,,,-0.0008568871941454,-0.0170284060243271,0.4726599999999999,0.3790477728090277,0.4612
302,302,162,NOTE,Semiconductors,30.076,-34.422,1.274,354.0,2074.0,0.28298,4887.864,69.141,0.2425,-142.0,800.0,-0.1381,0.40857,1.28304,Sweden,Mid Cap,NOTE,20.537,2022-01-28,NOTE.ST,,25.095,1.849,6.11,0.86847,Q4-2021,Technology,-0.1775,0.1706846673095467,0.0277374724427905,0.3879718079450503,0.5260934882573264,0.4776691627790235,0.6552489869255774
303,303,164,Novotek,IT Services,1.104,13.772,1.226,223.9,318.8,0.6338,538.48,50.393,0.24119,39.1,163.2,-0.29248,-0.18065,0.11404,Sweden,Small Cap,NTEK B,8.63,2022-02-17,NTEK-B.ST,0.0295299999999999,13.564,1.376,3.3,0.14429,Q4-2021,Technology,0.2395833333333333,0.7023212045169385,0.0022162739988728,0.0429350353589811,0.4828015576701401,0.4289006010669171,0.4730981714900407
304,304,441,NP3 Fastigheter,Real Estate,23.875,-4.994,0.066,912.0,18718.0,0.05077,13339.025,48.212,0.29957,-2671.0,6743.0,-0.3,0.13689,0.89335,Sweden,Large Cap,NP3,27.529,2022-02-11,NP3.ST,0.01755,6.603,10.775,1.978,0.40189,Q4-2021,Financials,-0.3961144890998072,0.0487231541831392,0.0233011078416083,0.4514835893457017,0.4100107785903304,0.3955658495865375,0.4730142710845613
305,305,1750,Nyfosa,Real Estate,34.396,-4.945,0.06,1651.0,40626.0,0.04382,23055.032,39.565,0.18022,-4662.0,17268.0,-0.26228,-0.08605,0.4997,Sweden,Large Cap,NYF,28.605,2022-02-17,NYF.ST,0.03084,7.408,9.376,1.335,0.27326,Q4-2021,Financials,-0.2699791521890201,0.040638999655393,0.0382714431669376,0.9274203926368818,0.3239606312783366,0.3036448274897547,0.3782142093490939
306,306,166,Oasmia Pharmaceutical,Pharmaceuticals,3.594,4.57,0.314,210.254,693.303,-0.02913,682.195,74.705,-0.04237,149.282,552.069,-0.33384,-0.45466,-0.53328,Sweden,Mid Cap,OASM,-38.923,2021-11-18,OASM.ST,,-29.203,3.131,1.236,-0.20898,Q3-2021,Health Care,0.2704046052214488,0.3032642293484955,0.0387617430772292,0.7961923437249874,0.5628623178441042,0.4760324859617182,0.4461952519884772
307,307,168,OEM International,Industrial Components,5.415,40.393,1.837,1372.0,2054.0,0.42251,10704.232,51.772,0.33261,265.0,1374.0,-0.2110699999999999,-0.04938,0.3791,Sweden,Mid Cap,OEM B,18.426,2022-02-17,OEM-B.ST,0.03896,23.423,2.833,7.791,0.03112,Q4-2021,Industrials,0.192867540029112,0.667964946445959,-0.01552733640737,-0.2755638333687097,0.4757633366436974,0.4350840750557265,0.5164334779202306
308,308,343,Ogunsen,Outsourcing,0.72,13.224,2.964,156.2,131.2,1.5576,420.51,38.31,0.38473,31.8,68.1,-0.1098499999999999,0.08714,0.60736,Sweden,First North,OGUN B,11.071,2021-11-12,OGUN-B.ST,0.05089,16.051,1.078,6.175,0.10717,Q3-2021,Industrials,0.4669603524229075,1.190548780487805,-0.0645101242962011,-2.2412028366058543,0.3672783841803792,0.298203357992431,0.263807026164621
309,309,1406,Oncopeptides,Biotechnology,36.315,-0.427,0.269,65.174,439.376,,647.503,265.538,-6.7800400000000005,-1516.73,210.868,-0.21533,-0.81553,-0.95301,Sweden,Mid Cap,ONCO,-0.201,2022-02-17,ONCO.ST,,-0.453,5.474,3.071,-0.53591,Q4-2021,Health Care,-7.192793595993702,0.148333090564801,0.069836638266676,0.3277871319274149,2.067301556315854,1.0815317726283855,1.9526799557778884
310,310,325,Online Brands Nordic,Accessories,1.829,606.665,0.894,99.2,163.8,0.15871,667.332,52.957,0.07226,1.1,128.7,0.06032,0.16376,-0.10695,Sweden,First North,OBAB,58.362,2022-02-17,OBAB.ST,,69.583,4.555,5.185,24.71025,Q4-2021,Consumer Durables,0.0085470085470085,0.6056166056166056,0.1225442331349021,2.489674215819564,1.200027457984072,0.7577733973809685,0.451117837629326
311,311,474,OptiCept Technologies,Farming,4.949,-31.241,0.033,-5.092,445.11,-0.1206199999999999,974.35,61.449,-0.10359,-31.188,410.629,-0.4123599999999999,-0.25608,-0.1382,Sweden,First North,OPTI,-21.421,2022-02-09,OPTI.ST,,-21.076,63.106,2.373,10.33547,Q4-2021,Food and Beverage,-0.075951771550475,-0.0114398687964772,-0.0425658656471318,-0.731898121782642,0.6374500281655683,0.5626624608711567,0.5330285610631232
312,312,170,Orexo,Pharmaceuticals,2.907,-2.566,0.444,486.1,1273.7,-0.54982,723.377,60.366,-0.6393,-281.9,349.6,-0.43492,-0.41296,-0.54498,Sweden,Mid Cap,ORX,-3.595,2022-01-27,ORX.ST,,-3.201,1.28,2.069,0.03309,Q4-2021,Health Care,-0.8063501144164759,0.3816440292062495,-0.1752208122909245,-3.225079798687514,0.4704630209301995,0.3999552676592738,0.497949003296964
