,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
104,366,Platzer Fastigheter,Real Estate,7.305,9.528,0.042,939.0,29051.0,0.03543,9918.542,47.139,0.29143,642.0,13938.0,20987.539,-0.21237999999999999,-0.50176,Sweden,Large Cap,PLAZ B,23.849,2022-07-06,PLAZ-B.ST,0.026600000000000002,2.439,17.133,0.712,-1042.0,2022-08-26,Q2-2022,Financials,0.022099067157757047,0.032322467384943716,-0.03586795635262125,0.0830863266421471,1.9087564510499788,0.41535661030686816,0.4001884104209558,0.39895019696621914,1.067445904165441,-18.22843359065822,-4.544507598962348,-0.3758698515824105
105,127,Lindab,Installation,29.684,-15.681,0.865,3318.0,12660.0,0.15717,11697.89,39.853,0.17348,365.0,6087.0,14866.89,-0.32789999999999997,-0.36507,Sweden,Large Cap,LIAB,10.346,2022-07-20,LIAB.ST,0.0262,11.057,1.357,1.922,616.0,2022-08-26,Q2-2022,Industrials,0.02883096366508689,0.262085308056872,0.048657187993680885,0.049936474609937775,1.1040148240178047,0.39455615115367165,0.389799664454351,0.414555438678765,1.2421257571457558,-13.213610686702474,-24.725343367970325,-0.503300083503444
106,122,KnowIT,IT Consulting,6.483,-55.553,0.891,,6856.4,0.09964,7460.73,27.58,0.105,469.7,4083.6,7935.93,-0.09718,-0.1764,Sweden,Mid Cap,KNOW,16.99,2022-07-15,KNOW.ST,0.02572,17.399,1.3,1.827,-251.8,2022-08-26,Q2-2022,Technology,0.06850533807829182,,-0.03672481185461759,-0.05369088237405484,-1.7735725835782399,0.3485592664072673,0.32980499719965034,0.2774541452503488,0.9412095514017185,-0.9502452096146786,-2.212043802209121,-0.23006232649977265
107,274,Catella B,Investment Banking,1.698,-2.829,0.345,1836.0,5619.0,0.22837,3445.611,36.266,0.20852,81.0,1954.0,4614.611,-0.06475,0.08696,Sweden,Mid Cap,CAT B,5.79,2022-08-19,CAT-B.ST,0.02564,7.543,2.38,1.763,762.0,2022-08-26,Q2-2022,Financials,0.014415376401494928,0.32674853176721835,0.13561131873998933,0.03146319029529676,0.8279306211952357,0.38215522198231655,0.36277412104022516,0.34829597418404334,0.9388937826142203,13.091821436397376,4.267014675666156,-0.13631612828011985
108,102,Holmen B,Forest & Wood Products,105.405,22.521,0.29,13332.0,74446.0,0.08859,72990.961,32.469,0.09279,4746.0,51256.0,76770.961,-0.053520000000000005,0.04066,Sweden,Large Cap,HOLM B,12.864,2022-08-19,HOLM-B.ST,0.0256,15.294,3.559,1.424,-3427.0,2022-08-26,Q2-2022,Materials,0.06375090669747199,0.17908282513499718,-0.046033366466969344,0.08101473071576881,2.2052247664952773,0.29476379695863386,0.28137218313208734,0.3367059372378672,0.7689854772317403,2.5157405109384676,7.052378889647557,0.01329446856511729
109,21,Autoliv,Auto & Equipment,158.578,99.77,1.162,10755.98,58981.699,0.14611000000000002,86217.828,39.433,0.13135,4396.36,21335.77,97275.844,-0.0225,0.08439,Sweden,Large Cap,ALIV SDB,21.794,2022-07-22,ALIV-SDB.ST,0.02548,26.186,1.419,4.041,-5243.75,2022-08-26,Q2-2022,Consumer Durables,0.07453769685406993,0.18236131176892684,-0.08890469567517884,0.01644909035502362,0.3464627944327811,0.3529896356352201,0.3313724243530556,0.43513590998117085,1.0690185665834067,18.662035885751205,9.332937181452895,-0.12820495664824805
110,2073,Pfizer,Pharmaceuticals,3.421,,,280005.594,,,2832896.0,27.401,,,,2832896.0,0.12264,0.25079999999999997,Sweden,Large Cap,PFE,40.77,,PFE.ST,0.02538,48.291,8.047,,,2022-08-26,Q4-2020,Health Care,,,,-0.004503752495716107,-0.08704492407568519,0.3062816392571051,0.27425639827201054,0.47421,0.24499921702925712,8.25311391301028,-0.01722190381482063,0.0019735146360086997
111,595,Lundin Gold,Mining - Gold & Silver,5.967,5.034,0.464,4808.142,14976.27,0.21153,17002.5,42.233,0.18085,3498.12,8191.764,20104.73,-0.0055000000000000005,-0.01134,Sweden,Mid Cap,LUG,10.081,2022-08-10,LUG.ST,0.024900000000000002,11.411,2.896,2.076,-2395.377,2022-08-26,Q2-2022,Materials,0.23357751963606424,0.3210507022108976,-0.15994483272537152,0.044187848897533355,0.903701003455974,0.4116354955187359,0.405555675584218,0.44814415740566915,0.5343650177030606,1.709203083548652,4.275949297234867,-0.01102962432194543
112,3,ABB,Industrial Machinery,172.573,21.258,0.607,77800.797,326743.188,0.26636,595710.688,24.142,0.34308,16237.2,103076.398,631284.688,-0.03807,-0.04398,Sweden,Large Cap,ABB,14.258,2022-07-21,ABB.ST,0.02476,16.184,3.183,5.779,-30861.6,2022-08-26,Q2-2022,Industrials,0.04969407349970522,0.23810992809435402,-0.09445216039209361,-0.0036136867323106614,-0.12216573753552852,0.23521737279080704,0.23076016338499,0.2711069948536956,0.9039415972187869,5.511258165096898,5.394574345010241,-0.13371553491524013
113,155,New Wave,Clothing & Footwear,18.884,19.929,0.911,3779.2,8524.8,0.19316,11411.17,54.411,0.18328,728.2,5026.7,12767.27,0.19777,0.26254,Sweden,Mid Cap,NEWA B,10.427,2022-08-17,NEWA-B.ST,0.02471,12.383,1.644,2.27,-714.0,2022-08-26,Q2-2022,Consumer Durables,0.08542135885885888,0.44331831831831836,-0.08375563063063064,0.15480223474454102,3.5434193903746096,0.5133585847268807,0.46015793697766993,0.4004002238020069,1.2390327336909042,10.912101836288745,10.167820334013165,0.09998457198379596
