,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
49,28,Beijer Ref,Installation,58.439,-86.233,1.105,,15300.0,0.14462,49928.902,48.106,0.18591000000000002,-579.0,5266.0,-0.25243,-0.31659,0.09625,Sweden,Large Cap,BEIJ B,40.054,2022-01-27,BEIJ-B.ST,0.00842,51.002,2.945,9.481,0.34116,Q4-2021,Industrials,-0.10995062666160274,,0.004098758819478077,0.08132839570824911,0.37424671381612884,0.3527247303057773,0.46190195643367365
50,26,Bergman & Beving,Industrial Components,3.056,65.739,0.88,1904.0,5097.0,0.08402,3352.679,39.57,0.10590999999999999,51.0,1778.0,-0.17876,-0.25397,0.19569,Sweden,Mid Cap,BERG B,14.448,2022-02-09,BERG-B.ST,0.024550000000000002,17.052,0.746,1.886,0.07896,Q3-2022,Industrials,0.028683914510686165,0.3735530704335884,0.0369970438297913,0.9010264959559225,0.388931559017019,0.3777488015712526,0.37633022913437475
51,31,Bergs Timber,Forest & Wood Products,2.557,-9.916,1.319,1271.0,2316.0,0.27116,1556.809,39.119,0.25804,-157.0,1616.0,-0.11961000000000001,-0.13985,0.23352,Sweden,Small Cap,BRG B,4.178,2022-02-03,BRG-B.ST,0.06682,3.734,0.496,0.963,0.3696,Q4-2021,Materials,-0.09715346534653466,0.5487910189982729,0.059434222750916144,1.3114026627490485,0.5170181244044058,0.4778055980759283,0.4153748232537472
52,32,Betsson,Gambling & Casinos,42.689,10.289,0.727,4318.1,9175.4,0.23879999999999998,7471.916,44.854,0.18565,726.2,5816.3,0.00096,-0.34643999999999997,-0.23128,Sweden,Mid Cap,BETS B,6.281,2022-02-10,BETS-B.ST,0.07526,6.627,1.12,1.285,0.11019999999999999,Q4-2021,Consumer Durables,0.12485600811512473,0.47061708481374115,0.13592157165718732,3.468156119183874,0.4013581613984742,0.36062315877348783,0.3591942630558391
53,1694,Better Collective,Gambling & Casinos,15.209,-4.284,0.296,1155.536,6153.004,0.08863,8279.934,57.291,0.050140000000000004,-1932.867,3551.934,-0.19424,-0.18112999999999999,-0.29439,Sweden,Mid Cap,BETCO,20.075,2022-02-24,BETCO.ST,,42.849,4.54,2.331,0.89605,Q4-2021,Consumer Durables,-0.544173118081586,0.18780030047111948,-0.040425733779900774,-0.7344523598971836,0.520843305649643,0.46169051700549196,0.5044683499865461
54,1677,BHG Group,Retailers,50.346,-4.782,0.936,3372.0,13528.9,0.0665,8982.851,56.735,0.09233000000000001,-1878.6,5211.9,-0.30574,-0.47881,-0.44534,Sweden,Large Cap,BHG,15.809,2022-01-28,BHG.ST,,18.078,0.708,1.724,0.5677300000000001,Q4-2021,Consumer Durables,-0.3604443676970011,0.24924421054187704,0.11670869340498213,1.9812576289151096,0.47450738333568837,0.42490066114545455,0.5398857917136022
55,1376,BICO Group,Medical Equipment,77.288,-1.962,0.129,1076.1,9754.6,-0.02773,9542.405,71.612,-0.033690000000000005,-4863.1,6773.9,-0.48725999999999997,-0.7201099999999999,-0.49781,Sweden,Large Cap,BICO,-40.837,2022-02-23,BICO.ST,,-37.201,6.635,1.409,2.88013,Q4-2021,Health Care,-0.717917300225867,0.11031718368769605,0.07262474121848694,0.9803583109682297,0.6679338890858816,0.6131197279137677,0.6789525222295609
56,33,Bilia,Auto & Equipment,22.706,16.248,2.064,6010.0,17200.0,0.17803000000000002,12007.04,32.647,0.32986,739.0,4417.0,-0.2336,-0.34602,0.1177,Sweden,Large Cap,BILI A,8.446,2022-02-09,BILI-A.ST,0.06849,7.839,0.338,2.718,0.04776,Q4-2021,Consumer Durables,0.16730812768847633,0.3494186046511628,-0.044730591332796554,-1.3271825445401397,0.32793557187831934,0.29936392631449976,0.30889695092200087
57,34,BillerudKorsnäs,Forest & Wood Products,90.58,11.212,0.69,13245.0,37978.0,0.07599,26829.147,32.583,0.0741,2393.0,20041.0,-0.31517,-0.32273,-0.17562,Sweden,Large Cap,BILL,15.484,2022-01-28,BILL.ST,0.033370000000000004,17.943,1.016,1.339,0.044500000000000005,Q4-2021,Materials,0.11940521930043412,0.34875454210332296,-0.02254136107406368,-0.5673708508046564,0.2663454561081715,0.2311681345431518,0.36412689598956094
58,389,BIMobject,IT Services,0.866,-4.706,0.318,57.45,377.942,-1.5678999999999998,556.579,52.768,-0.28815,-118.266,282.065,-0.38348999999999994,-0.37868999999999997,-0.63009,Sweden,First North,BIM,-2.903,2022-02-11,BIM.ST,,-6.849,4.467,1.973,-0.20774,Q4-2021,Technology,-0.4192863347100846,0.15200745087870626,-0.08095149267240209,-1.43384718186421,0.564113755006798,0.4742301912119639,0.5174419526474717
59,1538,BioArctic,Biotechnology,12.453,-53.856,0.026,-28.379,897.73,,7802.116,48.925,-0.15189,-144.869,788.676,-0.25169,-0.37252,-0.04474,Sweden,Mid Cap,BIOA B,-49.881,2022-02-03,BIOA-B.ST,,-65.133,292.345,9.893,-0.14526999999999998,Q4-2021,Health Care,-0.1836863300011665,-0.03161195459659363,0.03394186673194066,0.7212457433124604,0.5697017438436282,0.4517911382371066,0.43131255877606606
60,35,BioGaia,Health Products,7.736,99.695,0.369,582.949,2128.054,0.49134,9461.826,40.319,0.10455,94.908,1877.365,-0.09205,-0.025990000000000003,0.10365,Sweden,Mid Cap,BIOG B,31.439,2022-02-04,BIOG-B.ST,0.00775,48.208,12.052,5.04,0.11225,Q4-2021,Food and Beverage,0.050553834763085496,0.2739352478837473,0.03162623848492019,0.7915613574770398,0.38320620245405873,0.3148695435593834,0.36618672812884534
61,36,Bioinvent,Biotechnology,4.104,-2.571,0.013,-238.953,1447.311,-0.5826100000000001,1834.264,47.449,-0.20369,-713.385,1366.987,-0.21982,-0.2768,-0.33476999999999996,Sweden,Mid Cap,BINV,-3.42,2022-02-23,BINV.ST,,-6.588,94.628,1.342,0.8031900000000001,Q4-2021,Health Care,-0.521866703926226,-0.16510135002083173,0.06783382814721406,1.3197863943188266,0.44473928370019944,0.40454179921545286,0.4710666112354848
62,37,Biotage,Medical Equipment,22.456,854.576,0.618,755.0,1992.0,0.1981,10254.912,42.063,0.14953,12.0,1371.0,-0.40398,-0.35191,0.01631,Sweden,Large Cap,BIOT,37.616,2022-02-11,BIOT.ST,0.00995,50.024,8.324,7.48,0.38869,Q4-2021,Health Care,0.0087527352297593,0.3790160642570281,-0.07529077933655082,-1.7369278226904614,0.36645256857263786,0.3466338672037606,0.39728270908519886
63,1429,Biovica,Biotechnology,1.132,-21.668,0.014,5.105,165.02,-1.24253,717.394,62.646,-0.31554,-33.108,156.917,-0.37,-0.46779000000000004,-0.3262,Sweden,First North,BIOVIC B,-12.084,2021-06-17,BIOVIC-B.ST,,-14.464,129.121,4.572,-0.22274999999999998,Q2-2022,Health Care,-0.21099052365263163,0.030935644164343717,-0.0012189888366925805,-0.021310610603559668,0.5915397292661705,0.5357609246480554,0.5242560825091351
64,1577,Bio-Works,Pharmaceuticals,1.586,-41.549,0.181,52.774,120.861,-1.70767,594.602,71.191,-0.11927,-14.311,108.509,-0.28361000000000003,0.0,0.34252000000000005,Sweden,First North,BIOWKS,-49.97,2022-02-18,BIOWKS.ST,,-41.596,10.346,5.48,1.6562899999999998,Q4-2021,Health Care,-0.13188767751983707,0.4366503669504638,0.03251557893446877,0.5076897647359678,0.6194465736032713,0.566539882112082,0.5869927348643997
65,38,Björn Borg,Clothing & Footwear,2.594,10.639,1.106,435.267,676.127,0.21819,1014.722,44.852,0.23456,95.381,324.919,-0.11996000000000001,0.06184,1.02357,Sweden,Small Cap,BORG,11.263,2021-11-19,BORG.ST,0.03717,13.315,1.315,3.123,0.02582,Q3-2021,Consumer Durables,0.2935531624804952,0.6437651506299852,0.12103530846074528,3.2395433610711883,0.41268651409757184,0.36472744869161433,0.34242694167877563
66,40,Boliden,Mining - Steel & Aluminum,502.875,15.275,0.852,12929.0,80549.0,0.18516,109185.591,31.433,0.171,7148.0,50882.0,0.27744,0.28278,0.17758,Sweden,Large Cap,BOL,9.77,2022-02-11,BOL.ST,0.06513,12.549,1.591,2.146,0.11114,Q4-2021,Materials,0.1404818992964113,0.16051099330842097,0.04462196733578683,1.3640493188661846,0.3073331771720398,0.29898698283577385,0.2998184012056976
67,1325,Bonava B,Real Estate,23.772,11.323,0.653,2117.0,23711.0,0.10497999999999999,7144.88,33.244,0.09709,631.0,8317.0,-0.1862,-0.25944,-0.26475000000000004,Sweden,Mid Cap,BONAV B,9.047,2021-10-28,BONAV-B.ST,0.05251,8.843,0.461,0.859,0.03614,Q4-2021,Financials,0.07586870265720813,0.08928345493652735,-0.030446695885021136,-1.2043786361160667,0.29365207700335993,0.27286831014354646,0.23169505730250073
68,1474,Bonesupport,Biotechnology,5.039,-27.141,0.619,189.704,343.919,-1.06487,2350.456,54.118,-0.32189999999999996,-86.602,265.704,-0.042969999999999994,-0.51195,-0.48673,Sweden,Mid Cap,BONEX,-26.843,2022-02-17,BONEX.ST,,-27.483,11.041,8.846,-0.26074,Q4-2021,Health Care,-0.3259341221810737,0.5515949976593326,-0.011797204142274142,-0.2147029125272826,0.8388791144417171,0.4842852761480193,0.5035942953400613
69,1463,Boozt,Clothing & Footwear,24.276,-25.192,1.149,2351.6,5057.8,0.17329,9197.512,37.392,0.08213,-365.1,2176.6,-0.14755000000000001,-0.1528,-0.19213000000000002,Sweden,Large Cap,BOOZT,32.493,2022-02-10,BOOZT.ST,,47.941,1.582,4.226,0.25448,Q4-2021,Consumer Durables,-0.16773867499770287,0.46494523310530267,0.03943738689145926,0.8848398222566571,0.40209655275362,0.37578654575098075,0.4084915847943157
