,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
16,1358,Alcadon Group,Electrical Components,5.541,-50.645,1.019,77.4,722.8,0.13792,1570.0,52.738,0.13824,-31.0,340.5,-0.07621,0.46520000000000006,1.3816599999999999,Sweden,First North,ALCA,26.167,2022-02-22,ALCA.ST,1.36686,0.00625,30.481,2.132,4.611,0.57576,2022-02-25,Q4-2021,Industrials,-0.09104258443465492,0.1070835639180963,-0.07923012703919596,-1.3582523635509431,0.44680765213678214,0.3903398618860079,0.5346253232777316
17,10,Alfa Laval,Industrial Components,266.57,530.901,0.636,14510.0,64361.0,0.16241,126885.398,31.024,0.14714,239.0,32096.0,-0.18922999999999998,-0.13965,0.16723,Sweden,Large Cap,ALFA,21.859,2022-02-02,ALFA.ST,0.14453,0.01983,26.571,3.101,3.953,0.05753,2022-02-25,Q4-2021,Industrials,0.007446410767696909,0.22544708752194653,-0.024771892410195506,-0.7289264024803997,0.2690647093371505,0.24651508172952222,0.3114692284179552
18,2146,Aligro Planet SPAC,Investment Banking,0.826,,,,,,1190.0,9.034,,,,-0.012450000000000001,-0.01653,-0.95011,Sweden,Mid Cap,APAC SPAC A,,,APAC-SPAC-A.ST,,,,,,,2022-02-25,Q4-2020,Financials,,,-0.00102339019817288,-0.020604380513172007,0.08398835398917229,0.07985778250200538,0.45521999999999996
19,739,Alimak,Installation,9.16,10.37,0.632,1271.5,5901.7,0.09939,5621.601,29.104,0.08007,542.1,3840.4,-0.07815,-0.28315,-0.21481000000000003,Sweden,Mid Cap,ALIG,13.3,2022-02-10,ALIG.ST,-0.239,0.03179,18.282,1.508,1.464,0.05024,2022-02-25,Q4-2021,Industrials,0.1411571711280075,0.21544639680092179,0.07083565040853945,2.532712621917272,0.2644163729686788,0.24736984473971224,0.25633364566472683
20,1385,Alligator Bioscience,Biotechnology,0.986,-4.218,0.039,-71.856,333.2,-18.53916,536.021,67.17,-0.50212,-127.078,282.273,0.05652,-0.58247,-0.61732,Sweden,Small Cap,ATORX,-1.89,2022-02-11,ATORX.ST,-0.61732,,-3.782,41.414,1.899,1.193,2022-02-25,Q4-2021,Health Care,-0.4501953782331289,-0.21565426170468185,0.048135386082857945,0.8086711578009494,0.5922683789227408,0.45574729985138007,0.5455469709849999
21,1477,Alligo,Industrial Components,1.349,15.68,0.976,3521.0,8679.0,0.0755,9376.885,43.282,0.08439999999999999,598.0,3429.0,-0.10583000000000001,-0.04658,0.32632,Sweden,Mid Cap,ALLIGO B,27.281,2022-02-15,ALLIGO-B.ST,0.31384,0.0095,31.954,1.106,2.735,0.45866,2022-02-25,Q4-2021,Industrials,0.17439486730825313,0.40569189998847793,-0.017845236691928945,-0.4239187198947191,0.4275897360302143,0.3953826312677621,0.38581522399141627
22,364,ALM Equity,Real Estate,1.072,-15.213,0.187,217.0,12802.0,0.00908,24158.09,39.327,0.03789,-1588.0,4856.0,-0.06087,0.18826,0.39029,Sweden,First North,ALM,391.343,2021-11-25,ALM.ST,0.38856999999999997,0.00123,53.925,10.104,4.975,0.39031,2022-02-25,Q3-2021,Financials,-0.3270181219110379,0.016950476488048743,0.10596928258395732,3.551671961475644,0.3276442956472254,0.28671063687532283,0.2734555803849568
23,1419,Ambea,Healthcare Facilities,16.928,4.783,0.688,9849.0,16674.0,0.048470000000000006,4543.556,41.074,0.052320000000000005,950.0,4530.0,-0.17207,-0.2089,-0.31038,Sweden,Mid Cap,AMBEA,24.021,2022-02-09,AMBEA.ST,-0.32651,0.02395,19.135,0.396,1.003,0.1329,2022-02-25,Q4-2021,Health Care,0.2097130242825607,0.5906801007556675,-0.057455943259034026,-1.4585200408740568,0.34774018595998923,0.30994722054741985,0.3610457199502366
24,2048,Annehem Fastigheter,Real Estate,1.19,-2.149,0.073,238.1,3954.0,0.04396,1846.481,29.854,0.09802,-859.2,2208.7,-0.18383,-0.17414000000000002,0.12388,Sweden,Mid Cap,ANNE B,19.653,2021-10-29,ANNE-B.ST,0.12388,,8.529,6.389,0.836,,2022-02-25,Q3-2021,Financials,-0.389007108253724,0.060217501264542235,0.037558286688665676,1.0885217497478887,0.32690564702524,0.2999274455991112,0.3162338129918412
25,505,AQ Group,Industrial Components,2.909,-31.626,1.164,2748.0,4699.0,0.14504,4838.763,39.165,0.13932,-153.0,2615.0,-0.09881000000000001,-0.16297,-0.04346,Sweden,Mid Cap,AQ,12.107,2022-02-17,AQ.ST,-0.05535999999999999,0.012589999999999999,13.221,0.884,1.85,0.21594999999999998,2022-02-25,Q4-2021,Industrials,-0.058508604206500954,0.5848052777186635,0.011997733477454031,0.3029353562742278,0.35784563014800896,0.33420782987054454,0.36298517614146397
